[2024-10-03 22:45:51,205: INFO: main: welcome to electorals and sysmbols detection project]
[2024-11-16 15:33:02,745: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:33:02,747: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:33:02,748: INFO: common: created directory at: artifacts]
[2024-11-16 15:34:01,003: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:34:01,005: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:34:01,006: INFO: common: created directory at: artifacts]
[2024-11-16 15:34:03,799: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:34:03,801: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:34:03,802: INFO: common: created directory at: artifacts]
[2024-11-16 15:36:43,933: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:36:43,936: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:36:43,937: INFO: common: created directory at: artifacts]
[2024-11-16 15:41:40,861: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:41:40,866: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:41:40,867: INFO: common: created directory at: artifacts]
[2024-11-16 15:46:03,108: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:46:03,111: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:46:03,113: INFO: common: created directory at: artifacts]
[2024-11-16 15:59:34,211: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 15:59:34,224: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 15:59:34,225: INFO: common: created directory at: artifacts]
[2024-11-16 16:05:20,428: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:05:20,431: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:05:20,432: INFO: common: created directory at: artifacts]
[2024-11-16 16:10:47,124: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:10:47,127: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:10:47,129: INFO: common: created directory at: artifacts]
[2024-11-16 16:18:41,663: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:18:41,665: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:18:41,666: INFO: common: created directory at: artifacts]
[2024-11-16 16:19:00,949: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:19:00,949: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:19:00,949: INFO: common: created directory at: artifacts]
[2024-11-16 16:19:11,557: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:19:11,560: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:19:11,562: INFO: common: created directory at: artifacts]
[2024-11-16 16:20:41,422: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:20:41,426: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:20:41,428: INFO: common: created directory at: artifacts]
[2024-11-16 16:25:06,584: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:25:06,584: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:25:06,595: INFO: common: created directory at: artifacts]
[2024-11-16 16:25:18,025: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:25:18,029: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:25:18,030: INFO: common: created directory at: artifacts]
[2024-11-16 16:30:00,847: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:30:00,849: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:30:00,851: INFO: common: created directory at: artifacts]
[2024-11-16 16:31:03,996: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 16:31:04,006: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 16:31:04,007: INFO: common: created directory at: artifacts]
[2024-11-17 12:08:13,138: INFO: font_manager: generated new fontManager]
[2024-11-17 14:12:51,734: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 14:12:51,744: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 14:12:51,745: INFO: common: created directory at: artifacts]
[2024-11-17 15:39:24,116: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 15:39:24,118: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 15:39:24,122: INFO: common: created directory at: artifacts]
[2024-11-17 15:40:25,008: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 15:40:25,013: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 15:40:25,013: INFO: common: created directory at: artifacts]
[2024-11-17 15:40:34,747: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 15:40:34,749: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 15:40:34,749: INFO: common: created directory at: artifacts]
[2024-11-17 15:41:19,506: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 15:41:19,509: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 15:41:19,509: INFO: common: created directory at: artifacts]
[2024-11-17 17:04:48,233: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 17:04:48,237: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 17:04:48,239: INFO: common: created directory at: artifacts]
[2024-11-17 17:31:14,094: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 17:31:14,096: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 17:31:14,097: INFO: common: created directory at: artifacts]
[2024-11-17 19:25:59,139: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 19:25:59,147: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 19:25:59,149: INFO: common: created directory at: artifacts]
[2024-11-17 19:30:30,633: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 19:30:30,636: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 19:30:30,637: INFO: common: created directory at: artifacts]
[2024-11-17 21:01:41,105: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 21:01:41,107: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 21:01:41,109: INFO: common: created directory at: artifacts]
